Nomor Klasifikasi,Tanggal,Judul Buku,Kode Judul Buku,Kategori,Asal/Sumber,Kode Pengarang,Pengarang,Penerbit,Tahun Terbit,Jumlah Buku,Harga,Keterangan
900,2022-10-20,Mengenal Penyair Dunia dan Indonesia,M,Biografi, - ,IWA,Iwan Hendrawan,PT Musi Perkasa Utama,2017,3,0,Baik
900,2022-10-20,Mengenal Keraton di Indonesia,M,Sejarah Umum Asia, - ,WID,Widiyantoro,Media Intelektualita,2017,3,0,Baik
900,2022-10-20,101 Fakta Unik Jawa Timur,1,Sejarah Umum Asia, - ,SUS,Irma Susilowati,Pustaka Wijaya Kusuma,2017,3,0,Baik
900,2022-10-20,Ilmuwan-ilmuwan Muslim Pengubah Zaman,I,Biografi, - ,KHA,Khabib Basori,Cempaka Putih,2015,3,0,Baik
900,2022-10-20,Walisanga Penyebar Islam di Nusantara,W,Biografi, - ,HAR,M. Hariwijaya,Insan Madani,2015,2,0,Baik
900,2022-10-20,Pesona Kota Yogyakarta,P,Sejarah Umum Asia, - ,ZUL,Zulkifli,Pustaka Pawiyatan,2017,3,0,Baik
900,2022-10-20,Kerajaan-kerajaan Islam di Nusantara,K,Sejarah Umum Asia, - ,HAR,M. Hariwijaya,Insan Madani,2015,3,0,Baik
900,2022-10-12,Indahnya dan Rusaknya Alamku,I,Geografi dan kisah Perjalanan, - ,AND,Devi Andriana,PT  Sarana Pancakarya Nusa,2017,2,0,Baik
900,2022-10-12,Kisah Para Penjelajah Dunia,K,Geografi dan kisah Perjalanan, - ,ABI,Abiyu Mifzal,Pustaka Tiga Kelana,2017,3,0,Baik
900,2022-10-12,Mengenal Lebih dekat Ilmu MATEMATIKA,M,Biografi, - ,AND,Andri Salth,PT  Mediantara Semesta,2017,3,0,Baik
900,2022-10-12,Mengambil Teladan sang Maestro,M,Biografi, - ,SUJ,Sujiartiningsih,PT  Daniang Pustaka,2011,3,0,Baik
900,2022-10-12,Ikhtisar Sejarah Indonesia,I,Sejarah Umum Asia, - ,HER,Heru Dwijantara,Tiga Serangkai,2011,3,0,Baik
900,2022-10-12,Kisah Inspiratif Para Peraih Nobel Sastra,K,Biografi, - ,ABI,Abiyu Mifzal,PT  Pustaka Tiga Kelana,2010,3,0,Baik
900,2022-10-12,Cut Meuthia,C,Biografi, - ,AMR,A.M. Rustandie,PT  Sarana Pancakarya Nusa,2017,3,0,Baik
900,2022-10-12,Mengenal Wisata Alam Indonesia 2,M,Geografi dan Kisah Perjalanan, - ,YUN,Yunita Endah C dan Dwi C. Anggarawati,Pustaka Tiga Kelana,2011,3,0,Baik
900,2022-10-12,Eloknya Candi Negeriku,E,Sejarah Umum Asia, - ,DWI,Dwi Cahyati Anggarawati,Pustaka Tiga Kelana,2017,3,0,Baik
900,2022-10-12,Perkembangan Masyarakat pada Masa Kerajaan Hindu dan Buddha serta Peninggalannya,P,Sejarah Umum Asia, - ,SUC,Sucipto,PT Tiga Serangkai Pustaka Mandiri,2017,3,0,Baik
800,2022-10-20,Ketam Buan & Ketam Ugui,K,Kesusasteraan Indonesia, - ,RAH,MB. Rahimsyah AR,Serba Jaya Surabaya,2006,1,0,Baik
800,2022-10-20,Kisah Burung Walet,K,Kesusasteraan Indonesia, - ,END,Endratni Haryadi,Grasindo,2001,2,0,Baik
800,2022-10-20,Rahasia Putri Malu,R,Kesusasteraan Indonesia, - ,END,Endratni Haryadi,PT Gramedia Widiansara Indonesia,2001,2,0,Rusak
800,2022-10-20,Sigung yang Baik Hati,S,kesusasteraan indonesia, - ,AGU,Agus Maryanto,Aneka Ilmu,2006,1,0,Baik
800,2022-10-20,Kancil dan Beruang,K,kesusasteraan indonesia, - ,RAH,MB. Rahimsyah . AR,Serba Jaya Surabaya,2017,1,0,Baik
800,2022-10-20,Menggunakan Waktu Luang,M,Kesusasteraan Indonesia, - ,FAU,M. Fauzi AG,PT Wangsa Jatra Lestari,2006,4,0,Baik
800,2022-10-20,Transmigran Gemilang,T,kesusasteraan indonesia, - ,ABD,Drs. Abdul Malik H.A,Tiga Serangkai,2006,1,0,Baik
800,2022-10-20,Petualangan Langlang Kalah dan Menang,P,Kesusasteraan Indonesia, - ,ALI,Ali Muakhir,Pustaka Sunda Bandung,2017,3,0,Baik
800,2022-10-20,Petualangan Langlang Peragu dan Percaya Diri,P,Kesusasteraan Indonesia, - ,BAM,Bambang Trim,Pustaka Sunda,2017,2,0,Baik
800,2022-10-20,Puisiku,P,Kesusasteraan Indonesia, - ,HES,"M.G Hesti Puji Rastuti,iah Erma T, dan Y.Budi Artati",PT Temprina Media Gafika,2017,3,0,Baik
800,2022-10-20,Kawula Muda yang Berjasa,K,kesusasteraan indonesia, - ,HAS,Hasyim Sri Muda,PT Wangsa Jatra Lestari,2006,4,0,Baik
800,2022-10-20,Kuda Kayu Bersayap,K,Kesusasteraan Indonesia, - ,YAN,Yanusa Nugroho,PT tiga Serangkai,2006,2,0,Baik
800,2022-10-20,Menembus Belantara Irian Barat,M,Kesusasteraan Indonesia, - ,DAN,Daniel Agus Maryanto,PT Citra Aji Parama,2017,3,0,Baik
800,2022-10-20,Belajar Menuang Ide dalam Puisi Cerita Drama,B,Kesusasteraan Indonesia, - ,WID,Wendi Widya Ratna Dewi,Intan Pariwara,2017,1,0,Baik
800,2022-10-20,Rubah dan Anggur serta Cerita Lainnya,R,Kesusasteraan Indonesia, - ,DJU,Didik Djunaedi,PT Gading Inti Prima,2017,1,0,Baik
800,2022-10-20,Akal si Kancil dan Cerita Lainnya,A,Kesusasteraan Indonesia, - ,DJU,Didik Djunaedi,PT Gading Inti Prima,2017,3,0,Baik
800,2022-10-20,Baktiku Untukmu,B,Kesusasteraan Indonesia, - ,ANU,Winny Anugrah,Titian Ilmu,2016,1,0,Baik
800,2022-10-20,Peri yang Baik,P,Kesusasteraan Indonesia, - ,REN,Reni dan Donny,Grasindo,2002,1,0,Rusak
800,2022-10-20,Yuk Kita Hidup Sehat,Y,Kesusasteraan Indonesia, - ,ANI,Anies Listyowati,Iranti Mitra Utama,2015,1,0,Baik
800,2022-10-20,Kegemaranku,K,Kesusasteraan Indonesia, - ,ZAK,Muhammad Zaki,PT Sarana Panca Karya Nusa,2017,2,0,Baik
800,2022-10-20,Di dalam Tubuh yang Sehat Terdapat Jiwa yang Kuat,D,Kesusasteraan Indonesia, - ,RIS,Ristini,CV Grahadi,2017,3,0,Baik
800,2022-10-20,Semburat Merah di Kaki Langit,S,Kesusasteraan Indonesia, - ,SOE,Y. Soekardi,PT Bintang Ilmu,2017,1,0,Baik
800,2022-10-20,Sapi Perah Paman,S,Kesusasteraan Indonesia, - ,PRI,Punk Pribadi,Tiga Serangkai,2017,2,0,Baik
800,2022-10-20,Yuk Jadi MC Cilik,Y,Kesusasteraan Indonesia, - ,RUL,Rully Nasrullah,Dangiang Pustaka,2017,3,0,Baik
800,2022-10-20,Yuk Jadi Pengusaha Cilik,Y,Kesusasteraan, - ,RUL,Rully Nasrullah,PT Dangiang Pustaka,2017,2,0,Baik
800,2022-10-20,Hadiah Liburan,H,Kesusasteraan Indonesia, - ,RIZ,Riza AstutiY.W,Adicita Karya Nusa,1997,1,0,Baik
800,2022-10-12,Membuat Gula Semut,M,Kesusasteraan Indonesia, - ,SUW,Suwardono,PT  Sandiarta Sukses,2017,1,0,Baik
800,2022-10-12,Bahtera Kandas di Bukit,B,Kesusasteraan, - ,PUJ,Puji Santosa,PT  Tiga Serangkai,2006,2,0,Baik
800,2022-10-12,Menebar Bibit Kesabaran,M,Kesusastraan Bahasa Indonesia, - ,YUL,Yuliadi,PT  Bintang Ilmu,2017,3,0,Baik
800,2022-10-12,Saat Liburan yang Ku Nanti,S,Kesusastraan Bahasa Indonesia, - ,MAY,Maya Rohmayati,PT  Sarana Pancakarya Nusa,2017,3,0,Baik
800,2022-10-12,Kegiatan yang Menyenangkan,K,Kesusastraan Bahasa Indonesia, - ,YOD,Yodi Kurniadi dan Tedi Rustendi,PT  Sarana Pancakarya Nusa,2017,2,0,Baik
800,2022-10-12,Pelawak Kerdil,P,Kesusastraan, - ,ABD,Abd Fattah Shobri dan Ali Umar,Insan Madani,2016,3,0,Baik
800,2022-10-12,"Yuk, Kita Hidup Sehat",Y,Kesusastraan Indonesia, - ,ANI,Anies Listyowati,Iranti Mitra Utama,2015,2,0,Baik
800,2022-10-12,Bermula dari Makanan,B,Kesusastraan Indonesia, - ,RIZ,Rizal H,PT  Sandiarta Sukses,2017,3,0,Baik
800,2022-10-12,Tangan-tangan Terampil,T,Kesusasteraan Indonesia, - ,LAL,Lalu Safi'i,PT Tiga Serangkai Pustaka Mandiri,2017,3,0,Baik
800,2022-10-12,Anak Teladan,A,Kesusastraan, - ,ARA,A. Rahman Rahim,Cempaka Putih,2007,3,0,Baik
800,2022-10-12,Berbakti untuk Membangun,B,Kesusastraan, - ,AAM,A. Amilia,Titian Ilmu,2016,3,0,Baik
800,2022-10-12,Ayo Berani Berpidato,A,Kesusastraan, - ,ADI,Adi Putranto,Pustaka Sunda,2011,3,0,Baik
800,2022-10-12,Meraut Hati Yang Luka,M,Kesusastraan indonesia, - ,HAR,Harwimuka,Iranti Mitra Utama,2015,2,0,Baik
600,2022-10-12,Jamur Kuping Budidaya dan Usaha,J,Ilmu ilmu Tentang Tumbuh tumbuhan, - ,SOE,Hardi Soenarto,Aneka Ilmu,2006,1,0,Baik
500,2022-10-12,Magnet dan Listrik,M,Ilmu ilmu Murni, - ,KUR,Irwan Kurniawan,Nuansa,2006,3,0,Baik
500,2022-10-12,Matematika dalam Perjalanan,M,Matematika, - ,THO,Suethomson Lanforster,Cempaka Putih,2009,2,0,Baik
